review,rating,tanggal,sentimen,review_clean,text_final
setiap akunnya udah platinum aja ada alasannya buat dibatesin. padahal gda aktifitas aneh yg mencurigakan. ujungnya harus buat akun ulang dari awal lagi yg gda promo apa2.,1,2026-04-14 00:47:28,Negatif,setiap akunnya udah platinum aja ada alasannya buat dibatesin padahal gda aktifitas aneh yg mencurigakan ujungnya harus buat akun ulang dari awal lagi yg gda promo apa,tiap akun platinum alas dibatesin padahal gda aktifitas aneh curiga ujung akun ulang awal gda promo
"shopee sangat bermanfaat buat saya. Saya berharap, khusus buat saya kalau bisa ambil ditempat.🙏🏻",5,2026-04-14 00:46:36,Positif,shopee sangat bermanfaat buat saya saya berharap khusus buat saya kalau bisa ambil ditempat,manfaat harap khusus ambil tempat
sukaaaaaa,5,2026-04-14 00:45:51,Positif,sukaaaaaa,sukaaaaaa
mantul,5,2026-04-14 00:40:22,Positif,mantul,bagus
sangat membantu untuk kebutuhan mencari alat,5,2026-04-14 00:38:58,Positif,sangat membantu untuk kebutuhan mencari alat,bantu butuh cari alat
Baik & Bagus,5,2026-04-14 00:38:55,Positif,baik bagus,baik bagus
"suka belanja di Shopee setelah ada Qriss. Semangat shopee, sukses selalu",5,2026-04-14 00:38:15,Positif,suka belanja di shopee setelah ada qriss semangat shopee sukses selalu,suka belanja telah qriss semangat sukses
"stiap downlod shopee selalu tdk bisa di gunakan untuk pembelian brang , gak jelasssss ,, percuma saya downlod shopee tpi tdak bisa di gunakan .. notip stiap mau pesan : kmu tlah mengunakan promo ini silakan gunakan promo lain nya ,jika tetap melanjutkan checkout mka akun ada akn d'blokir ,, ini notip gak jelas ,, gk usah pake promo yg penting bisa d'beli ...",1,2026-04-14 00:37:10,Negatif,stiap downlod shopee selalu tdk bisa di gunakan untuk pembelian brang gak jelasssss percuma saya downlod shopee tpi tdak bisa di gunakan notip stiap mau pesan kmu tlah mengunakan promo ini silakan gunakan promo lain nya jika tetap melanjutkan checkout mka akun ada akn d blokir ini notip gak jelas gk usah pake promo yg penting bisa d beli,stiap downlod guna beli brang jelasssss percuma downlod tpi tdak guna notip stiap ingin pesan kmu tlah mengunakan promo sila guna promo lain nya tetap lanjut checkout mka akun akn blokir notip jelas usah pake promo penting beli
kenapa shopee saya ga bisa bayar dengan COD ? kemaren setiap saya belanja saya selalu bayar pake COD .... knp sekarang ga bisa ?,3,2026-04-14 00:36:18,Netral,kenapa shopee saya ga bisa bayar dengan cod kemaren setiap saya belanja saya selalu bayar pake cod knp sekarang ga bisa,bayar cod kemaren tiap belanja bayar pake cod sekarang
Shopee sekarang lelet di komplain banyak alasan masak pengiriman sampai seminggu lebih gak masuk akal,1,2026-04-14 00:35:37,Negatif,shopee sekarang lelet di komplain banyak alasan masak pengiriman sampai seminggu lebih gak masuk akal,sekarang lelet komplain banyak alas masak kirim sampai minggu masuk akal
makin lama makin aneh ni shopee barang saya sudah seminggu lebih belum di kirim²,2,2026-04-14 00:33:50,Negatif,makin lama makin aneh ni shopee barang saya sudah seminggu lebih belum di kirim,makin lama makin aneh ni barang minggu kirim
paling the best,5,2026-04-14 00:30:58,Positif,paling the best,paling the best
sangat bagus,5,2026-04-14 00:29:46,Positif,sangat bagus,bagus
"kurang recomended terutama dari kurirnya SPX lelet banget, ngirim paket berasa ngirim antar benua lama amat nyampeknya, saya sarankan mnding beralih ke toko lainnya, SAYA SANGAT KECEWAAAA",1,2026-04-14 00:27:02,Negatif,kurang recomended terutama dari kurirnya spx lelet banget ngirim paket berasa ngirim antar benua lama amat nyampeknya saya sarankan mnding beralih ke toko lainnya saya sangat kecewaaaa,kurang recomended utama kurir spx lelet ngirim paket asa ngirim antar benua lama amat nyampeknya saran mnding alih toko lain kecewaaaa
"kalau banned akun itu sistem yang bener . gua udah berlangganan mahal2 main ban aja. iya kalau gua kriminal dan penipu pantas Lo ban. pengajuan kaya formalitas aja , robot lu aja yang respon. kalau kaya gini gak ada solusi atau pertanggung jawaban. semakin semena-mena aja ni aplikasi 👎👎👎👎",1,2026-04-14 00:24:18,Negatif,kalau banned akun itu sistem yang bener gua udah berlangganan mahal main ban aja iya kalau gua kriminal dan penipu pantas lo ban pengajuan kaya formalitas aja robot lu aja yang respon kalau kaya gini gak ada solusi atau pertanggung jawaban semakin semena mena aja ni aplikasi,banned akun sistem benar gua langgan mahal main ban iya gua kriminal tipu pantas ban aju kaya formalitas robot respon kaya gin solusi tanggung jawab makin semena mena ni
terbaik,5,2026-04-14 00:20:33,Positif,terbaik,baik
"bagus,tapi kenapa sering minta perbarui akun.",4,2026-04-14 00:18:59,Positif,bagus tapi kenapa sering minta perbarui akun,bagus sering minta baru akun
belum pernah d kecewakan upgred terus biar semakin meningkat aplikasinya,5,2026-04-14 00:18:15,Positif,belum pernah d kecewakan upgred terus biar semakin meningkat aplikasinya,kecewa upgred terus biar makin tingkat aplikasi
Aplikasi banyak Discoun barang kata nya datang 1 minggu... tapi belum 1 minggu aja udah sampe,5,2026-04-14 00:14:45,Positif,aplikasi banyak discoun barang kata nya datang minggu tapi belum minggu aja udah sampe,banyak discoun barang kata nya datang minggu minggu sampai
"bagus sekali,pelayanannya bagus dan cepat",5,2026-04-14 00:14:43,Positif,bagus sekali pelayanannya bagus dan cepat,bagus layan bagus cepat
SDH lama pake shopee di tingkatkan dan di pertahankan yaa...,5,2026-04-14 00:13:16,Positif,sdh lama pake shopee di tingkatkan dan di pertahankan yaa,lama pake tingkat tahan yaa
selalu bermanfaat dan semoga sering banyak dicount 🔥🔥🔥🔥,5,2026-04-14 00:12:12,Positif,selalu bermanfaat dan semoga sering banyak dicount,manfaat moga sering banyak dicount
semoga bisa,5,2026-04-14 00:10:31,Positif,semoga bisa,moga
bagus,5,2026-04-14 00:10:10,Positif,bagus,bagus
spaylater mentok di 300 ribuan gak naik2.. ongkir kena mahal. mending uninstall saja ini aplikasi.,1,2026-04-14 00:09:11,Negatif,spaylater mentok di ribuan gak naik ongkir kena mahal mending uninstall saja ini aplikasi,spaylater mentok ribu naik ongkir kena mahal mending uninstall
shoppe memang rajanya online termurah,5,2026-04-14 00:08:17,Positif,shoppe memang rajanya online termurah,shoppe memang raja online murah
bagus sekali,5,2026-04-14 00:05:15,Positif,bagus sekali,bagus
"Shopee sangat baik , gratis ongkir ok",5,2026-04-14 00:03:22,Positif,shopee sangat baik gratis ongkir ok,baik gratis ongkir ok
suka,5,2026-04-13 23:56:36,Positif,suka,suka
saya suka sekali,5,2026-04-13 23:56:08,Positif,saya suka sekali,suka
ribet g bagus pengembalian barang aja ribet pakai ditinjau segalah lagi kan namanya bebas pengembalian y bebas dong ni pakai ditinju lagi pokok nya ribet di shopee nyesel langganan di shopee.,1,2026-04-13 23:52:50,Negatif,ribet g bagus pengembalian barang aja ribet pakai ditinjau segalah lagi kan namanya bebas pengembalian y bebas dong ni pakai ditinju lagi pokok nya ribet di shopee nyesel langganan di shopee,rumit bagus kembali barang rumit pakai tinjau sega kan nama bebas kembali bebas dong ni pakai tinju pokok nya rumit nyesel langgan
bagus,5,2026-04-13 23:48:33,Positif,bagus,bagus
puas banget,5,2026-04-13 23:43:44,Positif,puas banget,puas
bagus banget,4,2026-04-13 23:42:43,Positif,bagus banget,bagus
"mantab, cepat dan lancar",5,2026-04-13 23:42:29,Positif,mantab cepat dan lancar,mantab cepat lancar
bagus bangetttt,5,2026-04-13 23:39:43,Positif,bagus bangetttt,bagus bangetttt
👍,5,2026-04-13 23:39:33,Positif,,
puas,5,2026-04-13 23:35:24,Positif,puas,puas
banyak menggangu di iklan susah di pencet banyak ngatur,1,2026-04-13 23:31:50,Negatif,banyak menggangu di iklan susah di pencet banyak ngatur,banyak menggangu iklan susah pencet banyak ngatur
Banyak barang yang tidak sesuai,4,2026-04-13 23:31:12,Positif,banyak barang yang tidak sesuai,banyak barang sesuai
"apalah setiap ada iklan nya sengaja banget buat di arahin paksa ke aplikasi nya,mana banyak jebakan contoh,tombol x palsu,ga ada mencet langsung ke aplikasi nya,bodoh.",1,2026-04-13 23:29:53,Negatif,apalah setiap ada iklan nya sengaja banget buat di arahin paksa ke aplikasi nya mana banyak jebakan contoh tombol x palsu ga ada mencet langsung ke aplikasi nya bodoh,apa tiap iklan nya sengaja arahin paksa nya mana banyak jebak contoh tombol palsu mencet langsung nya bodoh
"Update terus,,, tapi Loading ttp lama. Padahal Jaringan bagus, Memory hp besar.. Aplikasi sebelah bagus, lancar gak ada masalah..",1,2026-04-13 23:28:15,Negatif,update terus tapi loading ttp lama padahal jaringan bagus memory hp besar aplikasi sebelah bagus lancar gak ada masalah,update terus loading ttp lama padahal jaring bagus memory hp besar belah bagus lancar masalah
Baik,5,2026-04-13 23:24:53,Positif,baik,baik
ok,5,2026-04-13 23:24:09,Positif,ok,ok
sejauh ini puas dgn layanannya,5,2026-04-13 23:23:59,Positif,sejauh ini puas dgn layanannya,jauh puas layan
sangat membantu untuk usaha saya mencari barang yg relatif murah,5,2026-04-13 23:23:36,Positif,sangat membantu untuk usaha saya mencari barang yg relatif murah,bantu usaha cari barang relatif murah
sudah beberapa kali beli. sangat cocok,5,2026-04-13 23:20:28,Positif,sudah beberapa kali beli sangat cocok,beberapa kali beli cocok
tempat berbelanja paling peraktis dehh suka banget,5,2026-04-13 23:17:17,Positif,tempat berbelanja paling peraktis dehh suka banget,tempat belanja paling peraktis dehh suka
bagus dan membantu banget kalo mau jualan,5,2026-04-13 23:16:52,Positif,bagus dan membantu banget kalo mau jualan,bagus bantu kalo ingin jual
enak apah2 ada semua,5,2026-04-13 23:14:22,Positif,enak apah ada semua,enak apah semua
Sangat puas belanja di shopee.. banyak promo Dan ongkir termurah.. gesit dalam pelayanan konsumen,5,2026-04-13 23:12:13,Positif,sangat puas belanja di shopee banyak promo dan ongkir termurah gesit dalam pelayanan konsumen,puas belanja banyak promo ongkir murah gesit layan konsumen
thank u,5,2026-04-13 23:06:53,Positif,thank u,thank
sejauh ini sangat memuaskan,5,2026-04-13 23:04:52,Positif,sejauh ini sangat memuaskan,jauh muas
sangat bagus,5,2026-04-13 23:03:17,Positif,sangat bagus,bagus
I Like This,5,2026-04-13 23:00:27,Positif,i like this,like this
"barang sudah diterima,sesuai pesanan",5,2026-04-13 23:00:22,Positif,barang sudah diterima sesuai pesanan,barang terima sesuai pesan
"shopee makin kesini malah makin kesana, udah bener kaya dulu pengirimannya banyak opsi, estimasi tiba nya tepat lahh sekarang malah makin ancur ni aplikasi, jasa kurirnya cuma satu, ya iyalah pesanan membludak kurirnya keteteran, at least pesanan konsumen yang kehambat, estimasi tiba di tanggal 12, tapi malah stuck",1,2026-04-13 22:59:47,Negatif,shopee makin kesini malah makin kesana udah bener kaya dulu pengirimannya banyak opsi estimasi tiba nya tepat lahh sekarang malah makin ancur ni aplikasi jasa kurirnya cuma satu ya iyalah pesanan membludak kurirnya keteteran at least pesanan konsumen yang kehambat estimasi tiba di tanggal tapi malah stuck,makin kesini malah makin kesana benar kaya dulu kirim banyak opsi estimasi tiba nya tepat lahh sekarang malah makin rusak ni jasa kurir cuma ya iya pesan membludak kurir keteter at least pesan konsumen hambat estimasi tiba tanggal malah stuck
"Baru kali ini belanja di Shopee banyak kendalanya, pesanan ku stuck di gudang Bekasi, saya pesen tanggal 5 April dan sampe sekarang 1 minggu lebih belum juga sampai, kayanya masalahnya di ekspedisinya yaitu SPX, tar kalo ada pilihan ekpedisi lain, saya tetep akan belanja di Shopee, tapi tidak akan banyak seperti dulu, karena sudah kecewa sama ekpedisi nya yaitu SPX.. Dan kebanyakan akan pindah ke Aplikasi Belanja Online yang lain, karena kalian pihak Shopee telah membuat saya kecewa..",1,2026-04-13 22:58:20,Negatif,baru kali ini belanja di shopee banyak kendalanya pesanan ku stuck di gudang bekasi saya pesen tanggal april dan sampe sekarang minggu lebih belum juga sampai kayanya masalahnya di ekspedisinya yaitu spx tar kalo ada pilihan ekpedisi lain saya tetep akan belanja di shopee tapi tidak akan banyak seperti dulu karena sudah kecewa sama ekpedisi nya yaitu spx dan kebanyakan akan pindah ke aplikasi belanja online yang lain karena kalian pihak shopee telah membuat saya kecewa,baru kali belanja banyak kendala pesan ku stuck gudang bekas sen tanggal april sampai sekarang minggu sampai kaya masalah ekspedisi yaitu spx tar kalo pilih ekpedisi lain tetep belanja banyak seperti dulu kecewa ekpedisi nya yaitu spx banyak pindah belanja online lain kalian pihak telah buat kecewa
kok paylater ga bisa di buka ya nge bug?,5,2026-04-13 22:57:24,Positif,kok paylater ga bisa di buka ya nge bug,kok paylater buka ya nge bug
"sangat baik, memberi rasa aman dalam berbelanja",5,2026-04-13 22:55:09,Positif,sangat baik memberi rasa aman dalam berbelanja,baik beri rasa aman belanja
Lumayan Bagus... Tingkatkan Lagi Ajah Informasih / Lacak Sttus Pengirimanya...,5,2026-04-13 22:47:29,Positif,lumayan bagus tingkatkan lagi ajah informasih lacak sttus pengirimanya,lumayan bagus tingkat ajah informasih lacak sttus pengirimanya
belanja jadi mudah dengan Shopee,5,2026-04-13 22:46:24,Positif,belanja jadi mudah dengan shopee,belanja jadi mudah
"Tolong hapus biaya ukuran khusus, sangat tidak masuk akal harganya",1,2026-04-13 22:34:13,Negatif,tolong hapus biaya ukuran khusus sangat tidak masuk akal harganya,tolong hapus biaya ukur khusus masuk akal harga
"bingung dengan pengiriman paket nya, kecewa banget dengan shopee. udah 16 hari paket tidak sampai sampai. kemarin di daerah ini besoknya balik lagi ke sortir besoknya lagi beda wilayah lagi aneh aneh shopee",1,2026-04-13 22:33:40,Negatif,bingung dengan pengiriman paket nya kecewa banget dengan shopee udah hari paket tidak sampai sampai kemarin di daerah ini besoknya balik lagi ke sortir besoknya lagi beda wilayah lagi aneh aneh shopee,bingung kirim paket nya kecewa hari paket sampai sampai kemarin daerah besok balik sortir besok beda wilayah aneh aneh
keren,5,2026-04-13 22:31:12,Positif,keren,bagus
"mulai pertama, langsung memainkan video lalu aplikasi sudah di background, tapi masih mengeluarkan suara dari videonya, bagi saya kombinasi ini perlu diubah",1,2026-04-13 22:30:53,Negatif,mulai pertama langsung memainkan video lalu aplikasi sudah di background tapi masih mengeluarkan suara dari videonya bagi saya kombinasi ini perlu diubah,mulai pertama langsung main video lalu background keluar suara video kombinasi perlu ubah
shopee slalu bikin happy😇😇😇,5,2026-04-13 22:30:44,Positif,shopee slalu bikin happy,slalu bikin happy
tolong tingkat kan lagi produk nya,5,2026-04-13 22:30:43,Positif,tolong tingkat kan lagi produk nya,tolong tingkat kan produk nya
"shopee paylater udah 3 tahun gak bisa digunain lagi ,gak bisa dipakai ...disuruh nunggu2 gak ada kabar sampai sekarang ...aplikasi buruk",1,2026-04-13 22:27:25,Negatif,shopee paylater udah tahun gak bisa digunain lagi gak bisa dipakai disuruh nunggu gak ada kabar sampai sekarang aplikasi buruk,paylater tahun digunain pakai suruh nunggu kabar sampai sekarang buruk
"Mohon perbaikan!! pada verifikasi wajah, yaitu dengan tablet xiaomi Poco pad M1, mengapa tidak sinkron, jadi ketika posisi tablet dan aplikasi shopee kita posisikan landscape maka kamera yang memunculkan wajah tersebut malah jadi posisi potrait, hingga saya gagal verifikasi!! CATATAN : pada kasus ini, saya pakai aplikasi Shoppe terbaru dan semua izin sudah saya izinkan.",3,2026-04-13 22:27:15,Netral,mohon perbaikan pada verifikasi wajah yaitu dengan tablet xiaomi poco pad m mengapa tidak sinkron jadi ketika posisi tablet dan aplikasi shopee kita posisikan landscape maka kamera yang memunculkan wajah tersebut malah jadi posisi potrait hingga saya gagal verifikasi catatan pada kasus ini saya pakai aplikasi shoppe terbaru dan semua izin sudah saya izinkan,mohon baik verifikasi wajah yaitu tablet xiaomi poco pad mengapa sinkron jadi posisi tablet posisi landscape kamera muncul wajah sebut malah jadi posisi potrait hingga gagal verifikasi catat kasus pakai shoppe baru semua izin izin
belanja online yang mudah,5,2026-04-13 22:24:24,Positif,belanja online yang mudah,belanja online mudah
terimakasih,5,2026-04-13 22:20:32,Positif,terimakasih,terimakasih
madepp,5,2026-04-13 22:19:39,Positif,madepp,madepp
good,5,2026-04-13 22:16:29,Positif,good,good
tolong jangan blokir perangkat saya biar saya bisa mesan lagi di shope,5,2026-04-13 22:13:16,Positif,tolong jangan blokir perangkat saya biar saya bisa mesan lagi di shope,tolong jangan blokir perangkat biar mesan shope
"Untuk Seller, untuk cek performa toko lebih nyaman aplikasi yg dulu sebelum update. Yg dulu bisa buat lihat produk apa yg paling banyak di kunjungi buyer. Tapi yg sekarang gak ada fitur tersebut. Tolong pihak shopee, buat lagi seperti dulu",4,2026-04-13 22:13:05,Positif,untuk seller untuk cek performa toko lebih nyaman aplikasi yg dulu sebelum update yg dulu bisa buat lihat produk apa yg paling banyak di kunjungi buyer tapi yg sekarang gak ada fitur tersebut tolong pihak shopee buat lagi seperti dulu,seller cek performa toko nyaman dulu belum update dulu lihat produk paling banyak kunjung buyer sekarang fitur sebut tolong pihak seperti dulu
saya sangat suka Shopee.... belanja jd gampang dan amanah skli.,5,2026-04-13 22:11:11,Positif,saya sangat suka shopee belanja jd gampang dan amanah skli,suka belanja jd gampang amanah skli
selama ini pelayanan shopee baik² saja & apbl ada kendala return barang via Spaylater selalu gerak cepat dan cepet beres prosesnya,5,2026-04-13 22:09:57,Positif,selama ini pelayanan shopee baik saja apbl ada kendala return barang via spaylater selalu gerak cepat dan cepet beres prosesnya,lama layan baik apbl kendala return barang via spaylater gerak cepat cepet beres proses
Lebih banyak waktu pengiriman cepat dan kualitasnya sesuai harga.,5,2026-04-13 22:08:29,Positif,lebih banyak waktu pengiriman cepat dan kualitasnya sesuai harga,banyak waktu kirim cepat kualitas sesuai harga
selama ini puas belanja di shopee,5,2026-04-13 22:04:20,Positif,selama ini puas belanja di shopee,lama puas belanja
sopphi barangnya bagus2 dn pelayanan ok,5,2026-04-13 22:03:58,Positif,sopphi barangnya bagus dn pelayanan ok,sopphi barang bagus dn layan ok
membantu,5,2026-04-13 22:03:22,Positif,membantu,bantu
Sangat 👍baguss,5,2026-04-13 21:57:15,Positif,sangat baguss,baguss
aplikasi ini sangat membantu,5,2026-04-13 21:49:21,Positif,aplikasi ini sangat membantu,bantu
mempermudah ber belanja,5,2026-04-13 21:48:56,Positif,mempermudah ber belanja,mudah ber belanja
aplikasi ini sangat memuaskan dan baik,5,2026-04-13 21:45:03,Positif,aplikasi ini sangat memuaskan dan baik,muas baik
pesanan stuck hampir 2 pekan ga ada perubahan komplen ga bisa.. padahal barangnya saya sangat butuh cepat...,1,2026-04-13 21:42:02,Negatif,pesanan stuck hampir pekan ga ada perubahan komplen ga bisa padahal barangnya saya sangat butuh cepat,pesan stuck hampir pekan ubah komplen padahal barang butuh cepat
bagus bngtt,5,2026-04-13 21:40:25,Positif,bagus bngtt,bagus bngtt
sangat bagus buat belanja online,5,2026-04-13 21:36:17,Positif,sangat bagus buat belanja online,bagus belanja online
shopee mantap ..cuma kemarin barang aku ada yg diambil.sama tukang paketnya katanya salah orang..gimana ya ..,5,2026-04-13 21:33:42,Positif,shopee mantap cuma kemarin barang aku ada yg diambil sama tukang paketnya katanya salah orang gimana ya,bagus cuma kemarin barang aku ambil tukang paket kata salah orang ya
"Selalu puas banget berbelanja di shopee,walaupun aga lama estimasinya,tp brangnya selalu aman",5,2026-04-13 21:29:40,Positif,selalu puas banget berbelanja di shopee walaupun aga lama estimasinya tp brangnya selalu aman,puas belanja walaupun aga lama estimasi tapi brangnya aman
Makin lama makin mahal ongkirnya malah lebih tinggi ongkirnya daripada harga barang nya sekarang Shopee sudah tidak asyik lagi dipakai buat belanja 🥱,2,2026-04-13 21:20:27,Negatif,makin lama makin mahal ongkirnya malah lebih tinggi ongkirnya daripada harga barang nya sekarang shopee sudah tidak asyik lagi dipakai buat belanja,makin lama makin mahal ongkirnya malah tinggi ongkirnya daripada harga barang nya sekarang asyik pakai belanja
pengembalian barang sudah di setujui tapi kurir tidak datang sampai besok jika memang tidak bisa di kembalikan konfirmasi jangan membuat menunggu perbaiki sistemnya,1,2026-04-13 21:20:14,Negatif,pengembalian barang sudah di setujui tapi kurir tidak datang sampai besok jika memang tidak bisa di kembalikan konfirmasi jangan membuat menunggu perbaiki sistemnya,kembali barang tuju kurir datang sampai besok memang kembali konfirmasi jangan buat tunggu baik sistem
shopi pokok nya top,5,2026-04-13 21:20:06,Positif,shopi pokok nya top,shopi pokok nya top
ad shopee di chrome menganggu sekali,1,2026-04-13 21:17:50,Negatif,ad shopee di chrome menganggu sekali,ad chrome menganggu
Shopee terpercaya,5,2026-04-13 21:15:50,Positif,shopee terpercaya,percaya
mengapa saldo saya di tahan pada tgl 13 April 2026,1,2026-04-13 21:15:12,Negatif,mengapa saldo saya di tahan pada tgl april,mengapa saldo tahan tgl april
kenapa ya saya pas mau checkout iphone rp1 di flash sale suka susah padahal saya suka cepat checkoutnya tapi kalau parfum gambang checkoutnya gth,4,2026-04-13 20:59:07,Positif,kenapa ya saya pas mau checkout iphone rp di flash sale suka susah padahal saya suka cepat checkoutnya tapi kalau parfum gambang checkoutnya gth,ya pas ingin checkout iphone rp flash sale suka susah padahal suka cepat checkoutnya parfum gambang checkoutnya gth
shopee sangat mengecewakan sekali. saya sangat kecewa KLO tidak ada tindak lanjut dengan akun saya. maka aplikasi ini saya hapus dan gak akan belanja lagi disini. saya sudah langganan lama sampai kurir hafal kok begini. percuma kita langganan dishoppe KLO perlakuan shope sama pelanggan seperti ini.,1,2026-04-13 20:53:33,Negatif,shopee sangat mengecewakan sekali saya sangat kecewa klo tidak ada tindak lanjut dengan akun saya maka aplikasi ini saya hapus dan gak akan belanja lagi disini saya sudah langganan lama sampai kurir hafal kok begini percuma kita langganan dishoppe klo perlakuan shope sama pelanggan seperti ini,kecewa kecewa klo tindak lanjut akun hapus belanja sini langgan lama sampai kurir hafal kok begini percuma langgan dishoppe klo laku shope langgan seperti
lebih banyak ngebug pas udah lama kaga di buka,3,2026-04-13 20:52:08,Netral,lebih banyak ngebug pas udah lama kaga di buka,banyak ngebug pas lama kaga buka
"Nama shopee pay knp ga bisa di ganti pakai nama panggilan sesuai keinginan pengguna nya, untuk keamanan akun kan bisa dgn nomor tlp dan e-mail. pembaruan kini mlh gk bisa COD dgn hrga promo, COD bsa dgunkan tpi hrga promo hilang mlh jdi harga normal nya, Kocak & kurir knp hrs spx mulu, pea. Sedang kan kurir spx gk ada ahlaklah, punya urusan beli barang di gw gk dibayar2, barang gk ada uangnya juga gk ada. Kacaulah sm kya kurir si cepat pea. update gk jelas Untuk validasi komisi`ya lama banget",1,2026-04-13 20:50:13,Negatif,nama shopee pay knp ga bisa di ganti pakai nama panggilan sesuai keinginan pengguna nya untuk keamanan akun kan bisa dgn nomor tlp dan e mail pembaruan kini mlh gk bisa cod dgn hrga promo cod bsa dgunkan tpi hrga promo hilang mlh jdi harga normal nya kocak kurir knp hrs spx mulu pea sedang kan kurir spx gk ada ahlaklah punya urusan beli barang di gw gk dibayar barang gk ada uangnya juga gk ada kacaulah sm kya kurir si cepat pea update gk jelas untuk validasi komisi ya lama banget,nama pay ganti pakai nama panggil sesuai ingin guna nya aman akun kan nomor tlp mail baru kini mlh cod hrga promo cod dgunkan tpi hrga promo hilang mlh jdi harga normal nya kocak kurir spx mulu pea sedang kan kurir spx ahlaklah punya urus beli barang bayar barang uang kacau sm kya kurir si cepat pea update jelas validasi komisi ya lama
kliatan sejenjang wajah di bawahnya ketujuan tampilan ia bisa nyangkut dan jadi kenangan selalu terSenyum,5,2026-04-13 20:48:38,Positif,kliatan sejenjang wajah di bawahnya ketujuan tampilan ia bisa nyangkut dan jadi kenangan selalu tersenyum,kliatan jenjang wajah bawah tuju tampil nyangkut jadi kenang senyum
"sayangnya ga bisa memblokir akun shopee lain, minta cs live malah mode boot trs",1,2026-04-13 20:45:20,Negatif,sayangnya ga bisa memblokir akun shopee lain minta cs live malah mode boot trs,sayang blokir akun lain minta cs live malah mode boot trs
mantap,5,2026-04-13 20:32:28,Positif,mantap,bagus
ini aplikasi iklannya terlalu sangat mengganggu!!!!!,1,2026-04-13 20:27:24,Negatif,ini aplikasi iklannya terlalu sangat mengganggu,iklan terlalu ganggu
bagus,5,2026-04-13 20:15:26,Positif,bagus,bagus
shopee gak kaya dlu lagi sekarang estimasi ga akurat ga pas susah nyiapin waktu trima brang saat sbuk krja estimasi sllu berubah dan undur waktu apa LG pesanan batre ke setag di sortir ga jalan2 LG hampir setengah bulan nunggu ga ad tanda2 jalan barang harusnya semakin bagus malah tambah bruk Skrang hdeuh,4,2026-04-13 20:08:10,Positif,shopee gak kaya dlu lagi sekarang estimasi ga akurat ga pas susah nyiapin waktu trima brang saat sbuk krja estimasi sllu berubah dan undur waktu apa lg pesanan batre ke setag di sortir ga jalan lg hampir setengah bulan nunggu ga ad tanda jalan barang harusnya semakin bagus malah tambah bruk skrang hdeuh,kaya dlu sekarang estimasi akurat pas susah nyiapin waktu trima brang sbuk krja estimasi sllu ubah undur waktu pesan batre setag sortir jalan hampir tengah bulan nunggu ad tanda jalan barang harus makin bagus malah tambah bruk skrang hdeuh
iklan di Google web/youtube/sosial media bikin gk nyaman sekali klik langsung teleport masuk aplikasi Shopee mana lama pula ... jadi kuhapus saja. toh aplikasi berat beratin ram dan menuhin memori,2,2026-04-13 20:06:09,Negatif,iklan di google web youtube sosial media bikin gk nyaman sekali klik langsung teleport masuk aplikasi shopee mana lama pula jadi kuhapus saja toh aplikasi berat beratin ram dan menuhin memori,iklan web youtube sosial media bikin nyaman klik langsung teleport masuk mana lama jadi hapus toh berat beratin ram menuhin memori
"setiap mau memesan barang selalu sangkut di Cileungsi lama berhari"". kadang itulah malasnya beli barang di shopee. tolong lah kalo ada pesanan barang langsung kirim aja ke alamat tanpa pakek nyangkut segala. dulu perasaan ga pala kayak gini kali lamanya. syukur"" yg paham sistem masih ngerti sama kurir yg ngantar kerumah, coba yg ga ngerti habis kurir di marah"" karena lama paketnya. sekali lagi tolong revisi lagi aturan pengiriman tanpa kendala nyangkut.",2,2026-04-13 19:52:49,Negatif,setiap mau memesan barang selalu sangkut di cileungsi lama berhari kadang itulah malasnya beli barang di shopee tolong lah kalo ada pesanan barang langsung kirim aja ke alamat tanpa pakek nyangkut segala dulu perasaan ga pala kayak gini kali lamanya syukur yg paham sistem masih ngerti sama kurir yg ngantar kerumah coba yg ga ngerti habis kurir di marah karena lama paketnya sekali lagi tolong revisi lagi aturan pengiriman tanpa kendala nyangkut,tiap ingin mes barang sangkut cileungsi lama hari kadang itu malas beli barang tolong kalo pesan barang langsung kirim alamat tanpa pakek nyangkut segala dulu asa pala kayak gin kali lama syukur paham sistem ngerti kurir ngantar rumah coba ngerti habis kurir marah lama paket tolong revisi atur kirim tanpa kendala nyangkut
aplikasi yang sangat membantu dalam belanja online,5,2026-04-13 19:37:29,Positif,aplikasi yang sangat membantu dalam belanja online,bantu belanja online
sangat-sangat puas respon dan yang di butuhkan pasti ada dan juga ringan di kantong kalangan masyarakat kelas bawah,3,2026-04-13 19:31:54,Netral,sangat sangat puas respon dan yang di butuhkan pasti ada dan juga ringan di kantong kalangan masyarakat kelas bawah,puas respon butuh pasti ringan kantong kalang masyarakat kelas bawah
