review_asli,review_clean,review_normalized,rating,label,tanggal
"Alangkah baiknya fitur pembayaran nya ditambah dengan opsi e-wallet, biar lebih memudahkan",alangkah baiknya fitur pembayaran nya ditambah dengan opsi e wallet biar lebih memudahkan,alangkah baiknya fitur pembayaran nya ditambah dengan opsi e wallet biar lebih memudahkan,1,Negatif,2026-04-13 17:10:05
"shopee skrg jelek bgt ya ekspedisinya terutama spx, pengirimannya suka muter"" respon cs jg ga solutif bgt pokoknya payahh bgt shopee skrg",shopee skrg jelek bgt ya ekspedisinya terutama spx pengirimannya suka muter respon cs jg ga solutif bgt pokoknya payahh bgt shopee skrg,shopee skrg jelek banget ya ekspedisinya terutama spx pengirimannya suka muter respon cs juga tidak solutif banget pokoknya payahh banget shopee skrg,2,Negatif,2026-04-13 17:09:52
"masukan dong shopee kalo baru buka shopee jangan langsung ke page vidio kadang suka nge crash tiap buka shopee udah dipindahin ke page home malah suara vidio nya masih ada terus dicoba diulang gitu lagi terus, mending pas buka shopee langsung ke home aja",masukan dong shopee kalo baru buka shopee jangan langsung ke page vidio kadang suka nge crash tiap buka shopee udah dipindahin ke page home malah suara vidio nya masih ada terus dicoba diulang gitu lagi terus mending pas buka shopee langsung ke home aja,masukan saja (partikel penegas) shopee kalau baru buka shopee jangan langsung ke page vidio kadang suka nge crash tiap buka shopee sudah dipindahin ke page home malah suara vidio nya masih ada terus dicoba diulang gitu lagi terus mending pas buka shopee langsung ke home saja,5,Positif,2026-04-13 17:07:43
sangat bagus,sangat bagus,sangat bagus,5,Positif,2026-04-13 16:53:58
makaaih,makaaih,makaaih,5,Positif,2026-04-13 16:53:57
"apk gk guna, 3x beli hp, ketipu uang tidak bisa kembali,",apk gk guna x beli hp ketipu uang tidak bisa kembali,apk tidak guna x beli hp ketipu uang tidak bisa kembali,1,Negatif,2026-04-13 16:53:24
bagusss,bagusss,bagusss,5,Positif,2026-04-13 16:51:35
"ni gw ksh tau...knp klo order food lama?? krena shopee licik, di apk customer ga dksh tau titik awal driver...nyatanya, driver yg dpet itu minimal 2 km dr lokasi resto ( bukan driver terdekat )",ni gw ksh tau knp klo order food lama krena shopee licik di apk customer ga dksh tau titik awal driver nyatanya driver yg dpet itu minimal km dr lokasi resto bukan driver terdekat,ni gw ksh tau knp kalau order food lama krena shopee licik di apk customer tidak dksh tau titik awal driver nyatanya driver yg dpet itu minimal km dari lokasi resto bukan driver terdekat,1,Negatif,2026-04-13 16:49:05
"saya sebagai penjual seringkali dibuat kecewa oleh shopee, barang yang sudah selesai tapi pelepasan dana nya terlalu lama, padahal pembeli sudah menilai produk, tapi dana yang cair sangat lama.",saya sebagai penjual seringkali dibuat kecewa oleh shopee barang yang sudah selesai tapi pelepasan dana nya terlalu lama padahal pembeli sudah menilai produk tapi dana yang cair sangat lama,saya sebagai penjual seringkali dibuat kecewa oleh shopee barang yang sudah selesai tapi pelepasan dana nya terlalu lama padahal pembeli sudah menilai produk tapi dana yang cair sangat lama,3,Netral,2026-04-13 16:46:10
"Shopee lu kenapa sih, Perasaan kagak mencet apa"" dah waktu iklan, tb"" masuk ke aplikasi, mbok yo jangan maksa to, bikin badmood aja. Padahal aplikasinya udah oke banget, tp iklannya tu lho bikin jengkel, udah sering belanja di shopee, tp masih aja iklannya berkeliaran dimana""",shopee lu kenapa sih perasaan kagak mencet apa dah waktu iklan tb masuk ke aplikasi mbok yo jangan maksa to bikin badmood aja padahal aplikasinya udah oke banget tp iklannya tu lho bikin jengkel udah sering belanja di shopee tp masih aja iklannya berkeliaran dimana,shopee lu kenapa partikel penegas perasaan kagak mencet apa sudah waktu iklan tb masuk ke aplikasi mbok yo jangan maksa to bikin badmood saja padahal aplikasinya sudah oke banget tapi iklannya tu lho bikin jengkel sudah sering belanja di shopee tapi masih saja iklannya berkeliaran dimana,3,Netral,2026-04-13 16:45:05
Sangat puas dengan berbagai layanan shoppee,sangat puas dengan berbagai layanan shoppee,sangat puas dengan berbagai layanan shoppee,5,Positif,2026-04-13 16:39:53
ongkir murah pelayanan responsif di dukung promo / diskon dan produk yg menarik,ongkir murah pelayanan responsif di dukung promo diskon dan produk yg menarik,ongkos kirim murah pelayanan responsif di dukung promosi/diskon diskon dan produk yg menarik,5,Positif,2026-04-13 16:39:28
bagus sekali tapi diskonnya mahal,bagus sekali tapi diskonnya mahal,bagus sekali tapi diskonnya mahal,5,Positif,2026-04-13 16:38:07
BAGUS ABIS APK SHOPEE INDONESIA POKOKNYA,bagus abis apk shopee indonesia pokoknya,bagus abis apk shopee indonesia pokoknya,5,Positif,2026-04-13 16:36:20
sangat membantu,sangat membantu,sangat membantu,5,Positif,2026-04-13 16:32:34
suka sekali,suka sekali,suka sekali,5,Positif,2026-04-13 16:30:08
mantap,mantap,bagus/memuaskan,5,Positif,2026-04-13 16:27:06
masih banyak bug nya..,masih banyak bug nya,masih banyak kesalahan program nya,1,Negatif,2026-04-13 16:26:36
"setelah sering berbelanja di sini,makin kelihatan ,ternyata ada aja toko dan star bintang tinggi yg menipu...kita beli apa yg di kirim apa...jadi lebih berhati 2 dlm bertransaksi..dan tolong utk aduan ...di tindak lanjuti..agar tdk ada lagi penjual yg seenak jidat kirim barang yg TDK sesuai yg kita pesan",setelah sering berbelanja di sini makin kelihatan ternyata ada aja toko dan star bintang tinggi yg menipu kita beli apa yg di kirim apa jadi lebih berhati dlm bertransaksi dan tolong utk aduan di tindak lanjuti agar tdk ada lagi penjual yg seenak jidat kirim barang yg tdk sesuai yg kita pesan,setelah sering berbelanja di sini makin kelihatan ternyata ada saja toko dan star bintang tinggi yg menipu kita beli apa yg di kirim apa jadi lebih berhati dlm bertransaksi dan tolong untuk aduan di tindak lanjuti agar tdk ada lagi penjual yg seenak jidat kirim barang yg tdk sesuai yg kita pesan,3,Netral,2026-04-13 16:17:28
perubahan tanpa ada persetujuan.,perubahan tanpa ada persetujuan,perubahan tanpa ada persetujuan,1,Negatif,2026-04-13 16:17:23
sangat serius,sangat serius,sangat serius,5,Positif,2026-04-13 16:16:57
"Bisa ga sih SHOPIE lebih bijak lagi, saya kasih reting rendah nih, soal COD tolong buka lagi dong, jangan karena banyak barang yg saya Cancel, tapi lihat pembelianku berapa ITEM yg saya beli, dan lagian yang saya cancel barang yg tidak sesuai dengan deskripsi yg penjual tawarkan, jangan memperhambat saya sebagai pengguna SHOPIE melalui COD.. hanya beberapa ITEM yg saya cancel langsung di tutup system COD nya... apa harus saya banding bandingkan dengan online shop sebelah, dah gercep ga lelet...",bisa ga sih shopie lebih bijak lagi saya kasih reting rendah nih soal cod tolong buka lagi dong jangan karena banyak barang yg saya cancel tapi lihat pembelianku berapa item yg saya beli dan lagian yang saya cancel barang yg tidak sesuai dengan deskripsi yg penjual tawarkan jangan memperhambat saya sebagai pengguna shopie melalui cod hanya beberapa item yg saya cancel langsung di tutup system cod nya apa harus saya banding bandingkan dengan online shop sebelah dah gercep ga lelet,bisa tidak partikel penegas shopie lebih bijak lagi saya kasih reting rendah ini soal Cash on Delivery (bayar di tempat) tolong buka lagi saja (partikel penegas) jangan karena banyak barang yg saya cancel tapi lihat pembelianku berapa item yg saya beli dan lagian yang saya cancel barang yg tidak sesuai dengan deskripsi yg penjual tawarkan jangan memperhambat saya sebagai pengguna shopie melalui Cash on Delivery (bayar di tempat) hanya beberapa item yg saya cancel langsung di tutup system Cash on Delivery (bayar di tempat) nya apa harus saya banding bandingkan dengan online shop sebelah sudah gercep tidak lelet,2,Negatif,2026-04-13 16:11:57
"senang belanja di shopee banyak pilihan,,mau yg murah yg mahal,,semua tersedia.",senang belanja di shopee banyak pilihan mau yg murah yg mahal semua tersedia,senang belanja di shopee banyak pilihan mau yg murah yg mahal semua tersedia,5,Positif,2026-04-13 16:11:30
sopiy sekarang parahh kulir yg bermasah akun syh yg d blok,sopiy sekarang parahh kulir yg bermasah akun syh yg d blok,sopiy sekarang parahh kulir yg bermasah akun syh yg d blok,1,Negatif,2026-04-13 16:07:38
barangnya bagus sudah bersertifikat halal juga,barangnya bagus sudah bersertifikat halal juga,barangnya bagus sudah bersertifikat halal juga,5,Positif,2026-04-13 16:07:34
satisfying,satisfying,satisfying,5,Positif,2026-04-13 16:05:57
"PENGIRIMAN LELET POLL, GAGAL DI DIKIRIM LAH.. KURIR UDAH DI TUGASIN TAPI GA DIKIRIM² MASALAHNYA GUE BAYAR SETAN ! DI BENERIN LAGI PLEASE SHOPEE DUHHH URAH BEBERAPA KALI LHOO BISA DI TINGKATIN LAGI GA SI ? HUH?",pengiriman lelet poll gagal di dikirim lah kurir udah di tugasin tapi ga dikirim masalahnya gue bayar setan di benerin lagi please shopee duhhh urah beberapa kali lhoo bisa di tingkatin lagi ga si huh,pengiriman lelet poll gagal di dikirim lah kurir sudah di tugasin tapi tidak dikirim masalahnya gue bayar setan di benerin lagi please shopee duhhh urah beberapa kali lhoo bisa di tingkatin lagi tidak si huh,1,Negatif,2026-04-13 16:04:02
keren,keren,keren,3,Netral,2026-04-13 16:02:23
pengiriman sampe 3 minggu. udah gitu masih juga lewat estimasi. mana bukan sekali. barang udah nyampe d kota tujuan tp gak diantar 2 kurir. tiap hari statusnya tertunda.,pengiriman sampe minggu udah gitu masih juga lewat estimasi mana bukan sekali barang udah nyampe d kota tujuan tp gak diantar kurir tiap hari statusnya tertunda,pengiriman sampe minggu sudah gitu masih juga lewat estimasi mana bukan sekali barang sudah nyampe d kota tujuan tapi tidak diantar kurir tiap hari statusnya tertunda,1,Negatif,2026-04-13 16:02:07
'verifikasi dengan salah satu cara dibawah ini' tapi pilihannya cuma wajah dih,verifikasi dengan salah satu cara dibawah ini tapi pilihannya cuma wajah dih,verifikasi dengan salah satu cara dibawah ini tapi pilihannya cuma wajah dih,1,Negatif,2026-04-13 15:56:39
semoga shopee menjadi tempat belanja yg amanah selamanya.,semoga shopee menjadi tempat belanja yg amanah selamanya,semoga shopee menjadi tempat belanja yg amanah selamanya,5,Positif,2026-04-13 15:56:35
ok,ok,ok,5,Positif,2026-04-13 15:56:02
sangat puuas bisa belanja di shoppee pelayanan nyaa juga sangat baikk .,sangat puuas bisa belanja di shoppee pelayanan nyaa juga sangat baikk,sangat puuas bisa belanja di shoppee pelayanan nyaa juga sangat baikk,5,Positif,2026-04-13 15:53:28
sangat membantu,sangat membantu,sangat membantu,5,Positif,2026-04-13 15:50:40
"gara"" telat bayar spaylater sekarang jadi gabisa dipakai saldo spaylater nya padahal udah 2 tahun sampe sekarang masih dibekukan",gara telat bayar spaylater sekarang jadi gabisa dipakai saldo spaylater nya padahal udah tahun sampe sekarang masih dibekukan,gara telat bayar spaylater sekarang jadi gabisa dipakai saldo spaylater nya padahal sudah tahun sampe sekarang masih dibekukan,5,Positif,2026-04-13 15:50:22
voucher nya banyak ga rugi pake shopee,voucher nya banyak ga rugi pake shopee,kupon diskon nya banyak tidak rugi pake shopee,5,Positif,2026-04-13 15:49:45
terbaik,terbaik,terbaik,5,Positif,2026-04-13 15:49:44
"Sudah 1 tahun lebih akun masih dibekukan Splater ku , padahal limit 100rb telat juga berapa hari itu juga sudah aku lunasi sama bunganya ,kok masih peninjauan dengan tim ,bukanya bisa pembaruan limit atau pengajuan lagi.",sudah tahun lebih akun masih dibekukan splater ku padahal limit rb telat juga berapa hari itu juga sudah aku lunasi sama bunganya kok masih peninjauan dengan tim bukanya bisa pembaruan limit atau pengajuan lagi,sudah tahun lebih akun masih dibekukan splater ku padahal limit rb telat juga berapa hari itu juga sudah aku lunasi sama bunganya kok masih peninjauan dengan tim bukanya bisa pembaruan limit atau pengajuan lagi,5,Positif,2026-04-13 15:49:23
bagus sangat baik untuk di gunakan,bagus sangat baik untuk di gunakan,bagus sangat baik untuk di gunakan,5,Positif,2026-04-13 15:49:02
ok,ok,ok,5,Positif,2026-04-13 15:46:52
"kenapa dari puasa sampe sekarang akun saya gak bisa cod,tlong diperbaiki",kenapa dari puasa sampe sekarang akun saya gak bisa cod tlong diperbaiki,kenapa dari puasa sampe sekarang akun saya tidak bisa Cash on Delivery (bayar di tempat) tlong diperbaiki,4,Positif,2026-04-13 15:45:36
okelah,okelah,okelah,5,Positif,2026-04-13 15:43:50
puas,puas,puas,5,Positif,2026-04-13 15:42:18
aplikasi bego .shopee food di kirim ke orang lain aku yg di salahin .aplikasi bintang 1 .harusnya kurir juga pinter konfirm ke akun pemesan .malu2 in org ga pesan makanan malah di kasih makanan.kirim foto2 penerimaan org lain ke akun ku . begok bgt ..makin banyak iklan pula .auto uninstall .,aplikasi bego shopee food di kirim ke orang lain aku yg di salahin aplikasi bintang harusnya kurir juga pinter konfirm ke akun pemesan malu in org ga pesan makanan malah di kasih makanan kirim foto penerimaan org lain ke akun ku begok bgt makin banyak iklan pula auto uninstall,aplikasi bego shopee food di kirim ke orang lain aku yg di salahin aplikasi bintang harusnya kurir juga pinter konfirm ke akun pemesan malu in org tidak pesan makanan malah di kasih makanan kirim foto penerimaan org lain ke akun ku begok banget makin banyak iklan pula auto uninstall,1,Negatif,2026-04-13 15:37:58
jos jis,jos jis,bagus/mantap jis,4,Positif,2026-04-13 15:28:20
sudah bertahun tahun setia dengan shopee.,sudah bertahun tahun setia dengan shopee,sudah bertahun tahun setia dengan shopee,5,Positif,2026-04-13 15:27:24
mau COD gak bisa padahal yang lalu bisa gimna si,mau cod gak bisa padahal yang lalu bisa gimna si,mau Cash on Delivery (bayar di tempat) tidak bisa padahal yang lalu bisa gimna si,1,Negatif,2026-04-13 15:25:07
"belanja dishopee sialnya dapet ekspedisi shopee express, pelayanan buruk sekali",belanja dishopee sialnya dapet ekspedisi shopee express pelayanan buruk sekali,belanja dishopee sialnya dapet ekspedisi shopee express pelayanan buruk sekali,3,Netral,2026-04-13 15:24:48
mantap 👍👍👍,mantap,bagus/memuaskan,5,Positif,2026-04-13 15:23:03
banyak iklan drakor yang g penting,banyak iklan drakor yang g penting,banyak iklan drakor yang tidak penting,1,Negatif,2026-04-13 15:22:31
bisa g sih kalo lagi nengok apa' g usah tiba' ke shopee muak anjir g suka bgt lama!!,bisa g sih kalo lagi nengok apa g usah tiba ke shopee muak anjir g suka bgt lama,bisa tidak partikel penegas kalau lagi nengok apa tidak usah tiba ke shopee muak anjir tidak suka banget lama,4,Positif,2026-04-13 15:22:30
bagus amanah,bagus amanah,bagus amanah,4,Positif,2026-04-13 15:21:11
saya sangat puas,saya sangat puas,saya sangat puas,5,Positif,2026-04-13 15:20:44
"Aplikasi sangat membatu untuk memenuhi kebutuhan dlm keseharian kita, semua barang yg kita cari ada disini. Terimakasih",aplikasi sangat membatu untuk memenuhi kebutuhan dlm keseharian kita semua barang yg kita cari ada disini terimakasih,aplikasi sangat membatu untuk memenuhi kebutuhan dlm keseharian kita semua barang yg kita cari ada disini terimakasih,5,Positif,2026-04-13 15:20:02
selalu terdepan,selalu terdepan,selalu terdepan,5,Positif,2026-04-13 15:19:46
satu kata saja buat shopee...shopee is the best.smuax lbih gampang dan mudah.mksih shopee 🙏🥰,satu kata saja buat shopee shopee is the best smuax lbih gampang dan mudah mksih shopee,satu kata saja untuk shopee shopee is the best smuax lbih gampang dan mudah mksih shopee,5,Positif,2026-04-13 15:16:41
oke tidak ribettt...responsif,oke tidak ribettt responsif,oke tidak ribettt responsif,5,Positif,2026-04-13 15:14:35
shopee ok,shopee ok,shopee ok,5,Positif,2026-04-13 15:09:02
sangat terpercaya,sangat terpercaya,sangat terpercaya,1,Negatif,2026-04-13 15:08:37
bagus aku suka,bagus aku suka,bagus aku suka,5,Positif,2026-04-13 15:07:52
"pesanan saya di batalkan shopee terus, aktifitas yang mencurigakan,ntah apa yang di curigai, sebelum nya saya juga pakai pembayaran yang sama kenapa bisa berhasil,tiba sekarang tidak bisa,bahkan sampai 2 Minggu lamanya saya spam pesan setiap hari,tetap di batalkan shopee",pesanan saya di batalkan shopee terus aktifitas yang mencurigakan ntah apa yang di curigai sebelum nya saya juga pakai pembayaran yang sama kenapa bisa berhasil tiba sekarang tidak bisa bahkan sampai minggu lamanya saya spam pesan setiap hari tetap di batalkan shopee,pesanan saya di batalkan shopee terus aktifitas yang mencurigakan ntah apa yang di curigai sebelum nya saya juga pakai pembayaran yang sama kenapa bisa berhasil tiba sekarang tidak bisa bahkan sampai minggu lamanya saya spam pesan setiap hari tetap di batalkan shopee,1,Negatif,2026-04-13 15:06:28
mantapppp,mantapppp,mantapppp,5,Positif,2026-04-13 15:06:21
ok,ok,ok,5,Positif,2026-04-13 15:05:27
bagus.. pengirimannya,bagus pengirimannya,bagus pengirimannya,2,Negatif,2026-04-13 15:05:19
ok,ok,ok,5,Positif,2026-04-13 15:03:21
mantap sangat membantu,mantap sangat membantu,bagus/memuaskan sangat membantu,5,Positif,2026-04-13 15:02:13
subtotal ukuran khususnya kok bisa muncul sih kak,subtotal ukuran khususnya kok bisa muncul sih kak,subtotal ukuran khususnya kok bisa muncul partikel penegas kak,3,Netral,2026-04-13 15:01:42
lumayan bagus hanya saja ada sebagian kurir selalu menunda Nunda pengiriman dan ada yg ga konfirmasi paket sudah sampai dari kurir,lumayan bagus hanya saja ada sebagian kurir selalu menunda nunda pengiriman dan ada yg ga konfirmasi paket sudah sampai dari kurir,lumayan bagus hanya saja ada sebagian kurir selalu menunda nunda pengiriman dan ada yg tidak konfirmasi paket sudah sampai dari kurir,5,Positif,2026-04-13 15:00:05
recommended,recommended,direkomendasikan,5,Positif,2026-04-13 14:57:37
🥺✌aplikasi dibuat dengan sampah apa ini🥺✌,aplikasi dibuat dengan sampah apa ini,aplikasi dibuat dengan sampah apa ini,1,Negatif,2026-04-13 14:56:41
"MIN KOK COD NY GABISA SIH, PADHL MAU COO BNYK,MALAH GBISA!!",min kok cod ny gabisa sih padhl mau coo bnyk malah gbisa,min kok Cash on Delivery (bayar di tempat) ny gabisa partikel penegas padhl mau coo bnyk malah gbisa,2,Negatif,2026-04-13 14:55:17
baik 👌,baik,baik,4,Positif,2026-04-13 14:55:07
terimakasih,terimakasih,terimakasih,5,Positif,2026-04-13 14:53:06
sangat memuaskan,sangat memuaskan,sangat memuaskan,5,Positif,2026-04-13 14:52:14
Suka bangettt pelanggan stya shopee syaa😄😄😄😙,suka bangettt pelanggan stya shopee syaa,suka bangettt pelanggan stya shopee syaa,5,Positif,2026-04-13 14:51:15
sangat membantu,sangat membantu,sangat membantu,5,Positif,2026-04-13 14:50:29
sumpah aku mau daftar ke akun shopee nya gak bisa setiap isi nomer pasti ada tulisan yg keluar montor ini sudah di pakai silahkan ganti nomer,sumpah aku mau daftar ke akun shopee nya gak bisa setiap isi nomer pasti ada tulisan yg keluar montor ini sudah di pakai silahkan ganti nomer,sumpah aku mau daftar ke akun shopee nya tidak bisa setiap isi nomer pasti ada tulisan yg keluar montor ini sudah di pakai silahkan ganti nomer,1,Negatif,2026-04-13 14:49:24
bagud,bagud,bagud,5,Positif,2026-04-13 14:47:55
bagus,bagus,bagus,5,Positif,2026-04-13 14:45:09
sangat bagus,sangat bagus,sangat bagus,5,Positif,2026-04-13 14:42:16
Ok,ok,ok,5,Positif,2026-04-13 14:41:35
mantap,mantap,bagus/memuaskan,5,Positif,2026-04-13 14:34:52
Good,good,good,5,Positif,2026-04-13 14:34:01
mantab,mantab,mantab,5,Positif,2026-04-13 14:33:46
"kenapa sistem cod sekarang dibatasi tidak seperti dulu, jadi males belanja sekarang",kenapa sistem cod sekarang dibatasi tidak seperti dulu jadi males belanja sekarang,kenapa sistem Cash on Delivery (bayar di tempat) sekarang dibatasi tidak seperti dulu jadi males belanja sekarang,2,Negatif,2026-04-13 14:33:44
pelayan oke mantap,pelayan oke mantap,pelayan oke bagus/memuaskan,5,Positif,2026-04-13 14:30:33
saya senang belanja di shoppe pengiriman nya tempat waktu dan kurir nya sangat sopan dan rama,saya senang belanja di shoppe pengiriman nya tempat waktu dan kurir nya sangat sopan dan rama,saya senang belanja di shoppe pengiriman nya tempat waktu dan kurir nya sangat sopan dan rama,5,Positif,2026-04-13 14:29:28
kecewa banget fi aplikasi ini bikin emosi tingkat dewa ga bisa Cekit,kecewa banget fi aplikasi ini bikin emosi tingkat dewa ga bisa cekit,kecewa banget fi aplikasi ini bikin emosi tingkat dewa tidak bisa cekit,1,Negatif,2026-04-13 14:28:59
bagus untuk yg suka di rumah dan malas keluar,bagus untuk yg suka di rumah dan malas keluar,bagus untuk yg suka di rumah dan malas keluar,5,Positif,2026-04-13 14:28:22
"iklan terus jo. lgi asik bca Wp malah iklan. mna lama lagi, ayam bnget ihh",iklan terus jo lgi asik bca wp malah iklan mna lama lagi ayam bnget ihh,iklan terus jo lagi asik bca wp malah iklan mna lama lagi ayam bnget ihh,5,Positif,2026-04-13 14:28:01
terpercaya seluruh Indonesia,terpercaya seluruh indonesia,terpercaya seluruh indonesia,5,Positif,2026-04-13 14:25:46
bagus sih karna gak cape cape keluar untuk beli barang dan menghemat bensi,bagus sih karna gak cape cape keluar untuk beli barang dan menghemat bensi,bagus partikel penegas karena tidak cape cape keluar untuk beli barang dan menghemat bensi,5,Positif,2026-04-13 14:25:13
senang belanja di shopee bisa cod harga terjangkai semoga Amanah terus trima kasih shopee,senang belanja di shopee bisa cod harga terjangkai semoga amanah terus trima kasih shopee,senang belanja di shopee bisa Cash on Delivery (bayar di tempat) harga terjangkai semoga amanah terus trima kasih shopee,5,Positif,2026-04-13 14:23:44
good app👍,good app,good app,5,Positif,2026-04-13 14:23:18
aplikasinya ringan...signal setengah bar masih bisa menampilkan iklan,aplikasinya ringan signal setengah bar masih bisa menampilkan iklan,aplikasinya ringan signal setengah bar masih bisa menampilkan iklan,5,Positif,2026-04-13 14:22:57
"Sebagai penjual saya sangat dirugikan: 1. Proses kirim barang retur sangat lama 2. Barang sudah dipakai 3 hari oleh pembeli, masih bisa komplain? Ajaib. Barang sudah dipakai kok bisa komplain?? 3. Barang sesuai foto dan video di lapak. Tapi pembeli bisa komplain? 4. Pembeli komplain tanpa video unboxing 5. Keliatan sekali sangat condong memihak pembeli 7. Ongkir retur ditanggung penjual? Wah sudah jatuh tertimpa tangga pula namanya Semoga semakin ""sukses"" untuk shope dan terus peras penjual",sebagai penjual saya sangat dirugikan proses kirim barang retur sangat lama barang sudah dipakai hari oleh pembeli masih bisa komplain ajaib barang sudah dipakai kok bisa komplain barang sesuai foto dan video di lapak tapi pembeli bisa komplain pembeli komplain tanpa video unboxing keliatan sekali sangat condong memihak pembeli ongkir retur ditanggung penjual wah sudah jatuh tertimpa tangga pula namanya semoga semakin sukses untuk shope dan terus peras penjual,sebagai penjual saya sangat dirugikan proses kirim barang pengembalian barang sangat lama barang sudah dipakai hari oleh pembeli masih bisa komplain ajaib barang sudah dipakai kok bisa komplain barang sesuai foto dan video di lapak tapi pembeli bisa komplain pembeli komplain tanpa video unboxing keliatan sekali sangat condong memihak pembeli ongkos kirim pengembalian barang ditanggung penjual wah sudah jatuh tertimpa tangga pula namanya semoga semakin sukses untuk shope dan terus peras penjual,1,Negatif,2026-04-13 14:21:08
"bagus dan mantap terimakasih shopy kami belanja dengan mudah,tapi tolong shopy aktif kan cod cekdulu di hp aku tolong shopy.",bagus dan mantap terimakasih shopy kami belanja dengan mudah tapi tolong shopy aktif kan cod cekdulu di hp aku tolong shopy,bagus dan bagus/memuaskan terimakasih shopy kami belanja dengan mudah tapi tolong shopy aktif kan Cash on Delivery (bayar di tempat) cekdulu di hp aku tolong shopy,5,Positif,2026-04-13 14:20:39
Buruk cs nya,buruk cs nya,buruk cs nya,1,Negatif,2026-04-13 14:20:18
iklan shopee banyak bgt di apk lain,iklan shopee banyak bgt di apk lain,iklan shopee banyak banget di apk lain,1,Negatif,2026-04-13 14:19:14
"aplikasi nyaa bguss bgtt,, barang2 nyaa jugaa sesuaii ekspektasi bettttt",aplikasi nyaa bguss bgtt barang nyaa jugaa sesuaii ekspektasi bettttt,aplikasi nyaa bguss bgtt barang nyaa jugaa sesuaii ekspektasi bettttt,5,Positif,2026-04-13 14:18:20
puas dengan layanan shopee,puas dengan layanan shopee,puas dengan layanan shopee,5,Positif,2026-04-13 14:16:23
Saya senang belanja di shopee karna ongkir murah dan tepat waktu,saya senang belanja di shopee karna ongkir murah dan tepat waktu,saya senang belanja di shopee karena ongkos kirim murah dan tepat waktu,5,Positif,2026-04-13 14:16:18
belanja mudah dan komplit,belanja mudah dan komplit,belanja mudah dan komplit,5,Positif,2026-04-13 14:15:04
"bagus"" aplikasinya👍",bagus aplikasinya,bagus aplikasinya,4,Positif,2026-04-13 14:15:03
"bermanfaat & puas 👍 eh... !? udah di kasih bintang 5, kok malah minta di tambahin bintang lagi ???. emang ada bintang 7 ??? bintang 7 tuh puyer sakit kepala boss ??? apa mau bintang kejora ??? haduuuuh... jauh butuh sayap buat terbang...??? oalah pee.... shopee...!?",bermanfaat puas eh udah di kasih bintang kok malah minta di tambahin bintang lagi emang ada bintang bintang tuh puyer sakit kepala boss apa mau bintang kejora haduuuuh jauh butuh sayap buat terbang oalah pee shopee,bermanfaat puas eh sudah di kasih bintang kok malah minta di tambahin bintang lagi memang ada bintang bintang itu puyer sakit kepala boss apa mau bintang kejora haduuuuh jauh butuh sayap untuk terbang oalah pee shopee,5,Positif,2026-04-13 14:12:12
ada sedikit kemajuan,ada sedikit kemajuan,ada sedikit kemajuan,3,Netral,2026-04-13 14:11:39
ok,ok,ok,5,Positif,2026-04-13 14:10:30
"barang shopee berkualitas mudah, dan banyak dpt koin utk diskon blanja",barang shopee berkualitas mudah dan banyak dpt koin utk diskon blanja,barang shopee berkualitas mudah dan banyak dpt koin untuk diskon blanja,5,Positif,2026-04-13 14:10:09
mudah murah,mudah murah,mudah murah,5,Positif,2026-04-13 14:09:07
paket saya sudah lama ngestuck tidak bergerak-gerak,paket saya sudah lama ngestuck tidak bergerak gerak,paket saya sudah lama ngestuck tidak bergerak gerak,1,Negatif,2026-04-13 14:08:49
bgus,bgus,bgus,5,Positif,2026-04-13 14:08:24
aplikasinya semakin mengecewakan kurir konfirmasi seenak jidatnya di tungguin dari siang sampai sore gk ad konfirmasi dan gk ad paket dateng sekalinya konfirmasi jam 19:00 pas sudah di lokasi ad kurir yg biasa malah di ganti yg gk bener tolol,aplikasinya semakin mengecewakan kurir konfirmasi seenak jidatnya di tungguin dari siang sampai sore gk ad konfirmasi dan gk ad paket dateng sekalinya konfirmasi jam pas sudah di lokasi ad kurir yg biasa malah di ganti yg gk bener tolol,aplikasinya semakin mengecewakan kurir konfirmasi seenak jidatnya di tungguin dari siang sampai sore tidak ad konfirmasi dan tidak ad paket dateng sekalinya konfirmasi jam pas sudah di lokasi ad kurir yg biasa malah di ganti yg tidak bener tolol,1,Negatif,2026-04-13 14:07:42
"Biaya layanan nya naik terus semakin hari, hubungan nya biaya layanan naik sama aplikasi versi terbaru apa ya?",biaya layanan nya naik terus semakin hari hubungan nya biaya layanan naik sama aplikasi versi terbaru apa ya,biaya layanan nya naik terus semakin hari hubungan nya biaya layanan naik sama aplikasi versi terbaru apa ya,1,Negatif,2026-04-13 14:07:10
membantu,membantu,membantu,5,Positif,2026-04-13 14:06:28
sangat puas,sangat puas,sangat puas,5,Positif,2026-04-13 14:06:21
bagus banget,bagus banget,bagus banget,5,Positif,2026-04-13 14:01:24
